date,ticker,open,high,low,close,volume,trading_value
2024-01-02,AAA,100,103,99,102,1000000,10000000000
2024-01-02,BBB,100,102,98,100,1000000,10000000000
2024-01-02,CCC,100,102,97,99,1000000,10000000000
2024-01-02,DDD,100,102,98,101,1000000,10000000000
2024-01-03,AAA,102,105,101,104,1000000,10000000000
2024-01-03,BBB,100,103,99,101,1000000,10000000000
2024-01-03,CCC,99,101,96,98,1000000,10000000000
2024-01-03,DDD,101,104,100,103,1000000,10000000000
2024-01-04,AAA,104,107,103,106,1000000,10000000000
2024-01-04,BBB,101,104,100,102,1000000,10000000000
2024-01-04,CCC,98,100,95,97,1000000,10000000000
2024-01-04,DDD,103,106,102,105,1000000,10000000000
2024-01-05,AAA,106,109,105,108,1000000,10000000000
2024-01-05,BBB,102,105,101,103,1000000,10000000000
2024-01-05,CCC,97,99,94,96,1000000,10000000000
2024-01-05,DDD,105,108,104,107,1000000,10000000000
2024-01-08,AAA,108,111,107,110,1000000,10000000000
2024-01-08,BBB,103,106,102,104,1000000,10000000000
2024-01-08,CCC,96,98,93,95,1000000,10000000000
2024-01-08,DDD,107,110,106,109,1000000,10000000000
2024-01-09,AAA,110,113,109,112,1000000,10000000000
2024-01-09,BBB,104,107,103,105,1000000,10000000000
2024-01-09,CCC,95,97,92,94,1000000,10000000000
2024-01-09,DDD,109,112,108,111,1000000,10000000000

